classifier,num models,accuracy
wain r0=0.1 rf=0.0001,5000,0.9269
wain r0=0.1 rf=0.0001,5000,0.9132
wain r0=0.1 rf=0.0001,3005,0.8962
wain r0=0.1 rf=0.0001,2259,0.8941
wain r0=0.1 rf=0.0001,1709,0.8757
wain r0=0.1 rf=0.0001,1289,0.8637
wain r0=0.1 rf=0.0001,959,0.8571
wain r0=0.1 rf=0.0001,558,0.8297
wain r0=0.1 rf=0.0001,322,0.8049
wain r0=0.1 rf=0.0001,190,0.7426
wain r0=0.1 rf=0.0001,121,0.7101
wain r0=0.1 rf=0.0001,79,0.6716
wain r0=0.1 rf=0.0001,53,0.5561
wain r0=0.1 rf=0.0001,39,0.5977
wain r0=0.1 rf=0.0001,30,0.4962
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,100,0.7647
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,100,0.763
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,121,0.7716
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,121,0.7542
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,196,0.817
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,196,0.7933
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,225,0.8256
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,225,0.8062
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,324,0.8532
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,324,0.8213
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,400,0.8529
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,400,0.8265
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,576,0.8602
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,576,0.855
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,625,0.8634
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,625,0.8446
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,900,0.8719
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,900,0.8703
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,961,0.8667
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,961,0.8657
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1024,0.8698
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1024,0.8671
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1089,0.8616
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1089,0.8614
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1156,0.8634
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1156,0.8716
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1225,0.8621
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1225,0.867
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1296,0.8712
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1296,0.8714
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1600,0.8657
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1600,0.8732
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,1681,0.8653
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,1681,0.8764
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,25,0.621
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,25,0.5665
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,3025,0.8706
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,3025,0.8751
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,36,0.69
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,36,0.6222
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,49,0.673
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,49,0.6634
SOM r0=0.1 rf=0.0001 w0=2 wf=0.0001,81,0.7514
SOM r0=0.1 rf=0.0001 w0=4 wf=0.0001,81,0.7382

